#{"t_start": 1681299143.4816067, "env_id": "Walker2d-v2"}
r,l,t
-1.435503,12,1.611227
2.259287,13,1.621318
-7.399109,19,1.635859
-2.676362,22,1.655181
2.714973,15,1.667114
-5.245398,8,1.674144
-7.894162,13,1.684434
-3.597075,14,1.695422
-1.60048,17,1.708751
-3.56228,8,1.715162
-7.490084,21,1.731457
0.466464,41,1.763067
-0.009902,10,1.770916
-1.559034,15,1.782557
-4.749543,12,1.791929
3.525756,24,1.811201
-3.211328,9,1.818211
-2.881671,11,1.827381
0.739565,14,1.838683
5.247503,18,1.85271
-1.168673,23,1.870526
-3.35822,13,1.880913
0.722317,16,1.893376
2.966837,19,1.90809
-1.991721,23,1.926157
1.93106,13,1.936806
-0.238894,10,1.944826
-2.305704,13,1.955056
-2.431606,12,1.96468
-1.150736,11,1.973545
10.002187,31,1.997866
1.297744,11,2.006543
-3.600405,13,2.016821
-0.523017,16,2.029416
2.837209,19,2.04446
-7.573351,18,2.058879
2.585835,15,2.071138
0.517828,12,2.080762
-10.933357,14,2.091948
3.905259,14,2.103165
14.356482,25,2.124757
-5.160207,20,2.140527
0.008364,18,2.154504
-1.183464,15,2.166066
0.582441,27,2.186801
-3.825117,16,2.199171
-1.528607,10,2.206924
6.707255,19,2.223623
-3.647408,18,2.237987
-3.063021,15,2.249482
-3.346851,25,2.26882
-2.026891,17,2.282131
5.379775,25,2.301558
-0.132286,17,2.314822
0.164419,13,2.324944
3.007151,28,2.346671
1.501542,40,2.377507
-0.470081,11,2.386103
5.022732,22,2.403049
-0.992114,9,2.410628
0.082177,12,2.420211
-1.096431,11,2.430291
-1.219931,10,2.439017
11.576067,30,2.462134
-0.93615,26,2.482294
2.611858,23,2.500004
4.536688,39,2.529648
-1.468516,15,2.541763
-0.716231,12,2.551309
-4.560226,9,2.558558
-2.807033,10,2.566479
-6.480555,15,2.578252
-2.6032,10,2.586291
-4.625752,15,2.598117
0.012562,10,2.60608
-5.847287,14,2.617235
1.848525,23,2.635155
-3.664338,32,2.66005
6.380855,25,2.679787
-4.512432,11,2.68836
1.441897,13,2.698922
1.283148,17,2.712117
-4.101446,9,2.719345
-3.847527,36,2.746933
-0.649306,14,2.757991
-7.698342,16,2.770555
-5.651055,24,2.789156
-3.855594,22,2.806282
3.457531,18,2.820419
-1.733613,17,2.833703
-0.496205,10,2.841673
-2.099984,10,2.849616
-4.107172,26,2.869825
-3.312856,13,2.880426
-7.813406,16,2.893029
-3.244405,10,2.900853
12.660601,28,2.922577
-6.455576,26,2.941587
-5.681667,11,2.950036
-5.323099,14,2.96091
0.864803,14,2.971771
-4.681911,16,2.984306
2.20893,23,3.002548
-1.631514,11,3.010987
-3.568673,23,3.028351
-1.818321,14,3.039222
3.529838,22,3.056301
15.182183,28,3.078201
-8.52111,24,3.097049
2.034913,32,3.121874
3.535799,28,3.143499
2.936384,20,3.158853
-5.812516,9,3.165981
3.728338,17,3.179157
5.613326,19,3.193761
-8.62544,15,3.205399
-0.774566,14,3.798036
8.844451,23,3.818692
-0.892006,25,3.83866
-4.180087,29,3.86123
7.816893,33,3.887221
-1.529731,17,3.900916
-0.625924,21,3.91743
-3.36474,15,3.929231
12.637122,30,3.952538
-3.019228,8,3.959065
-4.470656,11,3.967809
-5.672586,16,3.980472
-1.086056,12,3.989911
-1.733172,13,4.000111
1.406378,26,4.020277
-3.487339,23,4.037853
-2.478042,19,4.052665
-4.114349,13,4.062881
3.890282,25,4.082278
2.998096,27,4.103369
1.571828,16,4.115852
2.796177,14,4.128255
0.044699,11,4.137142
-6.737146,21,4.153486
-3.411442,13,4.163818
-4.621892,30,4.186989
6.519761,31,4.210911
3.075212,34,4.236842
-2.132007,14,4.247944
-8.837488,19,4.262993
-5.514439,15,4.274608
-2.840555,11,4.283373
9.149705,26,4.303684
3.844867,16,4.316501
-2.215357,14,4.327513
-4.778644,11,4.336134
9.055284,27,4.356946
0.117333,17,4.370245
0.107509,13,4.380786
-1.884428,18,4.395241
6.890092,20,4.411531
-0.198891,12,4.421026
5.619716,20,4.436684
0.898973,14,4.447672
-6.10281,24,4.466262
4.092715,17,4.480066
3.648035,20,4.495726
0.991041,16,4.508381
-0.811009,36,4.536915
2.241065,16,4.549576
0.723943,14,4.560546
-3.930732,11,4.569504
-0.048339,11,4.578126
13.371171,29,4.601243
-3.356484,12,4.610639
-9.50422,21,4.626884
-5.135399,30,4.651404
-2.945125,17,4.664989
-1.63323,12,4.674522
-1.421317,12,4.684051
3.760986,30,4.707413
27.967573,43,4.741238
3.191786,14,4.751863
-1.345266,30,4.773553
3.450471,20,4.788118
3.728193,16,4.799754
18.546275,47,4.833199
-2.322957,18,4.846606
0.332268,30,4.868303
-2.382445,18,4.881549
0.491039,18,4.894515
-0.207609,16,4.906274
-0.393097,12,4.915281
-8.175575,26,4.934412
2.421626,13,4.944263
10.237044,25,4.962538
-1.806884,24,4.982759
-1.934313,13,4.992536
-3.446309,10,4.999968
-0.347935,11,5.007639
-5.889408,10,5.014872
-0.698398,16,5.026137
-2.497075,11,5.034987
-10.298421,19,5.04974
11.701369,22,5.066961
1.035923,16,5.080146
2.502976,12,5.088747
0.229106,13,5.098095
-2.157338,13,5.107664
-2.869617,10,5.114822
-1.489937,29,5.136116
-0.051986,12,5.145536
-5.143174,16,5.15816
-0.532697,48,5.194792
-6.871194,12,5.204618
3.859937,22,5.222518
21.596194,29,5.243335
-7.903095,15,5.253877
2.652188,19,5.268185
0.25232,14,5.279128
-3.505132,13,5.28942
10.473647,21,5.30582
2.749833,14,5.316757
9.913917,27,5.338385
1.739911,19,5.353147
-1.174974,12,5.36258
4.734718,32,5.586032
-2.959749,21,5.606812
-1.34405,10,5.614877
-0.844281,25,5.633357
-6.412831,18,5.6472
-5.592034,10,5.65519
-0.546463,25,5.674825
0.133698,15,5.686484
1.640219,13,5.696658
0.746784,19,5.71149
1.432605,14,5.722349
-2.496561,9,5.72948
2.718825,16,5.741917
17.868939,28,5.763602
1.670121,18,5.777616
4.767334,18,5.791827
-3.966927,15,5.803388
-4.872109,21,5.819295
8.43907,26,5.839053
-4.558626,9,5.846166
5.056347,22,5.863652
-8.748096,10,5.871664
7.603202,27,5.892141
-2.92581,21,5.907918
3.017659,19,5.922728
-1.484275,10,5.930649
-0.9414,27,5.952073
-2.250858,12,5.961528
