EpLenMean,Tsallis-q,surrgain,entropy,TimeElapsed,entloss,EpThisIter,explained_variance_tdlam_before,optimgain,EpisodesSoFar,EpRewMean,meankl,TimestepsSoFar
18.9,1.0,0.013351299,8.507661,2.271238327026367,0.0,116,-0.4321249723434448,0.013351299,116,-1.055010925,0.0029934149,2048
18.625,1.0,0.014946058,8.499354,4.053025722503662,0.0,106,0.01829206943511963,0.014946058,222,0.7159000750000001,0.003624163,4096
16.65,1.0,0.020609856,8.491727,5.854480028152466,0.0,114,0.1963251233100891,0.020609856,336,-0.5582479499999999,0.0063411146,6144
18.675,1.0,0.024026562,8.486926,7.663756847381592,0.0,105,0.2506116032600403,0.024026562,441,2.5081169,0.0078048157,8192
22.025,1.0,0.016936034,8.482644,9.45029330253601,0.0,93,0.2844400405883789,0.016936034,534,3.2017007500000005,0.008343808,10240
22.25,1.0,0.02239064,8.474122,11.202110052108765,0.0,89,0.29797887802124023,0.02239064,623,4.817713475,0.011859145,12288
29.325,1.0,0.015379021,8.458746,12.965660333633423,0.0,73,0.33398300409317017,0.015379021,696,8.374668275000001,0.012354609,14336
31.85,1.0,0.015802775,8.440675,14.72632384300232,0.0,64,0.3659980297088623,0.015802775,760,13.029046025,0.013100084,16384
42.5,1.0,0.0151048135,8.423362,16.522096395492554,0.0,47,0.42749708890914917,0.0151048135,807,24.14600575,0.013382302,18432
54.425,1.0,0.011847214,8.407687,18.285852909088135,0.0,39,0.530487060546875,0.011847214,846,43.466274850000005,0.0106053315,20480
61.575,1.0,0.010741078,8.393398,20.071457624435425,0.0,31,0.57954540848732,0.010741078,877,52.10658980000001,0.010253251,22528
74.05,1.0,0.012422134,8.379152,21.817309856414795,0.0,27,0.6599619388580322,0.012422134,904,71.97570157499999,0.012358569,24576
77.4,1.0,0.007917328,8.365715,23.59129548072815,0.0,21,0.6938216388225555,0.007917328,925,81.50572282499999,0.0082342625,26624
99.25,1.0,0.0108984625,8.3552265,25.423051834106445,0.0,18,0.6785176992416382,0.0108984625,943,112.72435605000001,0.007886638,28672
93.825,1.0,0.009952281,8.343261,27.229070901870728,0.0,25,0.7444390952587128,0.009952281,968,110.87693415000001,0.005063996,30720
93.675,1.0,0.0101576075,8.328367,29.089946269989014,0.0,20,0.7494593560695648,0.0101576075,988,107.16165097500001,0.0056452192,32768
104.925,1.0,0.00814366,8.316866,30.880204916000366,0.0,19,0.7886362224817276,0.00814366,1007,129.26598367499997,0.0027196023,34816
109.925,1.0,0.00931196,8.30289,32.69220471382141,0.0,17,0.7670885771512985,0.00931196,1024,136.449959675,0.008210104,36864
119.525,1.0,0.013433624,8.286597,34.4773895740509,0.0,15,0.7874722480773926,0.013433624,1039,153.4251449,0.0076805716,38912
137.8,1.0,0.006453656,8.275368,36.283310413360596,0.0,14,0.7739514708518982,0.006453656,1053,190.53401992500002,0.005506254,40960
149.55,1.0,0.007570095,8.263825,38.06139945983887,0.0,14,0.8051513582468033,0.007570095,1067,221.735269625,0.0047566295,43008
142.925,1.0,0.008342361,8.252434,39.800870418548584,0.0,15,0.8647806197404861,0.008342361,1082,219.56862385,0.00312227,45056
135.4,1.0,0.015509538,8.242703,41.59266757965088,0.0,15,0.8149888068437576,0.015509538,1097,201.92919070000002,0.006260427,47104
142.4,1.0,0.011042045,8.234861,43.374773263931274,0.0,13,0.8602410852909088,0.011042045,1110,208.190857375,0.004685714,49152
152.225,1.0,0.006301716,8.226413,45.17798471450806,0.0,13,0.8019910752773285,0.006301716,1123,215.281910225,0.0028480245,51200
168.525,1.0,0.0089724,8.223026,46.987263679504395,0.0,11,0.8394180089235306,0.0089724,1134,242.447955325,0.008924194,53248
