entloss,explained_variance_tdlam_before,surrgain,meankl,EpLenMean,TimeElapsed,entropy,TimestepsSoFar,EpisodesSoFar,Tsallis-q,optimgain,EpThisIter,EpRewMean
0.0,-0.4321249723434448,0.0074641868,0.000930874,18.9,2.2304227352142334,8.510651,2048,116,1.0,0.0074641868,116,-1.055010925
0.0,0.013725697994232178,0.006703059,0.0007880763,18.225,4.026669263839722,8.508547,4096,223,1.0,0.006703059,107,0.5213424750000002
0.0,0.18406599760055542,0.009636556,0.0011423664,17.0,6.71077036857605,8.506499,6144,334,1.0,0.009636556,111,-1.5024048750000003
0.0,0.21241819858551025,0.007985137,0.001097518,17.5,8.616955041885376,8.503792,8192,447,1.0,0.007985137,113,1.2145632499999999
0.0,0.2940945625305176,0.007603502,0.0010437265,19.075,10.395799160003662,8.502083,10240,550,1.0,0.007603502,103,0.702953175
0.0,0.2640162706375122,0.010259706,0.0013331822,18.9,12.231911420822144,8.500496,12288,656,1.0,0.010259706,106,1.42927165
0.0,0.31215256452560425,0.012001624,0.0018203023,18.275,14.086802959442139,8.49807,14336,767,1.0,0.012001624,111,0.7453421999999998
0.0,0.33910316228866577,0.014955549,0.002632366,18.875,15.936392784118652,8.49476,16384,868,1.0,0.014955549,101,2.6342315999999997
0.0,0.2903329133987427,0.012233186,0.0030565886,22.0,17.728142499923706,8.492281,18432,958,1.0,0.012233186,90,5.371336025
0.0,0.370552122592926,0.013385098,0.003771565,23.2,19.52192521095276,8.489659,20480,1043,1.0,0.013385098,85,4.632252074999999
0.0,0.34944212436676025,0.015939722,0.004614449,24.55,21.30097007751465,8.485328,22528,1126,1.0,0.015939722,83,6.06073565
0.0,0.3399275541305542,0.012880525,0.005641289,24.7,23.104138374328613,8.47827,24576,1196,1.0,0.012880525,70,8.162641325
0.0,0.4165304899215698,0.015766807,0.006347364,32.4,24.906619787216187,8.472191,26624,1258,1.0,0.015766807,62,13.944356975
0.0,0.38122743368148804,0.01174622,0.0072914353,32.525,26.700318813323975,8.46534,28672,1320,1.0,0.01174622,62,15.468950325
0.0,0.4743991494178772,0.0108631905,0.0075826347,41.3,28.578291654586792,8.4569025,30720,1371,1.0,0.0108631905,51,17.840701075
0.0,0.5017736852169037,0.0059633893,0.006919053,45.35,30.440035104751587,8.448352,32768,1414,1.0,0.0059633893,43,29.242412874999996
0.0,0.5456304848194122,0.011726743,0.007270896,59.95,32.192365407943726,8.441168,34816,1445,1.0,0.011726743,31,49.895566124999995
0.0,0.5600798726081848,0.010926768,0.008421394,53.55,34.004671812057495,8.434908,36864,1481,1.0,0.010926768,36,42.548596375
0.0,0.6270438134670258,0.007348628,0.007943823,66.425,35.85967516899109,8.427973,38912,1512,1.0,0.007348628,31,69.23503245
0.0,0.6779353022575378,0.0026625032,0.0041974992,61.95,37.679707765579224,8.419701,40960,1544,1.0,0.0026625032,32,58.632239375
0.0,0.7426280975341797,0.0042673005,0.0030042198,73.625,39.43798589706421,8.411893,43008,1568,1.0,0.0042673005,24,78.63111
0.0,0.763562336564064,0.0058452766,0.004409043,85.45,41.258174419403076,8.404055,45056,1591,1.0,0.0058452766,23,110.1051424
0.0,0.7545024752616882,0.005242532,0.0056926864,92.75,43.12385082244873,8.397352,47104,1612,1.0,0.005242532,21,116.93454257500002
0.0,0.7791461199522018,0.00086649717,0.002048,110.325,44.93005728721619,8.392113,49152,1629,1.0,0.00086649717,17,143.0029622
0.0,0.7684230208396912,0.0029903408,0.0015330383,103.125,46.76922369003296,8.386853,51200,1652,1.0,0.0029903408,23,139.478095075
0.0,0.8250625878572464,0.0035708211,0.0018877331,94.775,48.58205962181091,8.382575,53248,1671,1.0,0.0035708211,19,118.54462882500002
0.0,0.7973085939884186,0.002424968,0.0012739894,116.5,50.37901973724365,8.37804,55296,1684,1.0,0.002424968,13,141.28478137500002
0.0,0.8519178777933121,0.0033343541,0.0013712487,124.75,52.1836314201355,8.373936,57344,1701,1.0,0.0033343541,17,164.50295235000002
0.0,0.7488897442817688,0.005687083,0.0027850522,122.75,53.976787090301514,8.369169,59392,1719,1.0,0.005687083,18,169.76554572499998
0.0,0.8326360881328583,0.0043100948,0.002914762,121.65,55.79784059524536,8.363532,61440,1736,1.0,0.0043100948,17,172.082430625
0.0,0.7444343864917755,0.005170974,0.003751922,129.875,57.61265182495117,8.358061,63488,1749,1.0,0.005170974,13,184.74153177500003
0.0,0.8565754443407059,0.0011453733,0.001472601,134.8,59.414504051208496,8.351939,65536,1763,1.0,0.0011453733,14,193.956303525
0.0,0.8453204035758972,0.0036556602,0.0004664067,152.15,61.20390772819519,8.345923,67584,1775,1.0,0.0036556602,12,206.81288532499997
0.0,0.8724540024995804,0.0019269334,0.00047944335,155.75,62.993189096450806,8.34067,69632,1789,1.0,0.0019269334,14,209.939238475
0.0,0.8171538859605789,0.0054507507,0.0006313843,121.775,64.78381443023682,8.3356,71680,1812,1.0,0.0054507507,23,157.50073697500002
0.0,0.9083888307213783,0.0027357521,0.001108917,117.925,66.57675862312317,8.331448,73728,1824,1.0,0.0027357521,12,152.78061284999998
0.0,0.8257022649049759,0.0035311477,0.0005714625,118.6,68.34324622154236,8.327509,75776,1840,1.0,0.0035311477,16,152.7121944
0.0,0.7516523003578186,0.0074634,0.0014787207,113.25,70.10566210746765,8.322538,77824,1861,1.0,0.0074634,21,160.29284967499999
0.0,0.8391966819763184,0.0047336016,0.00226517,111.05,71.87767267227173,8.317137,79872,1877,1.0,0.0047336016,16,158.18589830000002
0.0,0.8996446207165718,0.0019799965,0.0015971386,131.925,73.64587259292603,8.31179,81920,1889,1.0,0.0019799965,12,187.36103387499998
0.0,0.8493089526891708,0.0029338272,0.0010627746,144.925,75.40829491615295,8.306891,83968,1903,1.0,0.0029338272,14,205.17340725
0.0,0.8997993916273117,0.0020129732,0.0012049344,158.075,77.22862362861633,8.303129,86016,1916,1.0,0.0020129732,13,224.8419006
0.0,0.9234219267964363,0.0017396554,0.0005750032,150.575,79.02455496788025,8.299228,88064,1929,1.0,0.0017396554,13,218.53316047500002
0.0,0.8019849956035614,0.003129037,0.0006405455,143.25,80.78554177284241,8.295321,90112,1945,1.0,0.003129037,16,212.59688085
0.0,0.9026516675949097,0.0035756247,0.0020454556,154.975,82.60556960105896,8.292479,92160,1956,1.0,0.0035756247,11,230.513853625
0.0,0.9287902414798737,0.004364928,0.0012824181,151.875,84.41703534126282,8.292125,94208,1970,1.0,0.004364928,14,217.193445025
